"HCF","OBS_TOMBO"
164,
165,unicata
166,
167,
168,Det. por A.E. Bianek em 07/III/2003 como Sapium glandulatum
169,Det. por G. Hatschbach em 05/I/2004 como pertencente a Ulmaceae
170,Det. por G. Hatschbach em 05/I/2004 como D. brasiliensis
171,
172,Det. por M.G. Caxambu em 09/IV/2012 como pertencente a Caesalpinaceae
173,
174,Det. por G. Hatschbach em 05/I/2004 como A. sellowiana
175,Det. por M.G. Caxambu em 21/V/2003 como Sloanea monosperma
176,
177,
178,
179,
180,Det. por A.E. Bianek em 22/V/2003 como pertencente a Mimosaceae
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,unicata
194,
195,
196,
197,
198,unicata
199,
200,unicata
201,
202,
203,
204,unicata
205,
206,
207,duplicata
208,unicata
209,duplicata
210,
211,duplicata
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,unicata
233,unicata
234,unicata
235,unicata
236,
237,
238,
239,
240,unicata
241,
242,
243,unicata
244,
245,
246,Det. por E.R. Brambilla em 22/VI/2003 como R. baccifera
247,
248,
249,
250,
251,Det. M.G. Caxambu em 14/V/2007 como Aster squamatus
252,anteriormente det. por L.C. Oliveira como S. canadensis L.
253,
254,
255,
256,Anteriormente identificado como S. canadensis por M.G.F. Kumakura
257,unicata
258,
259,Det. por D.C.V. Casian em 24/VI/2003 em Apiaceae
260,
261,
262,Det. por G.G. Hatschbach em 05/I/2004 como O. lanceolata
263,
264,
265,Det. por M.G. Caxambu em 30/VII/2003 como pertencente a Cochlospermaceae
266,unicata
267,
268,
269,Det. por M.G. Caxambu em 17/IX/2003 como J. decurrens
270,
271,unicata
272,
273,duplicata
274,Anteriormente identificado como S. morototonii por M.G. Caxambu em 30/VII/2003
275,
276,
277,
278,unicata
279,
280,Det. por G. Hatschbach em 05/I/2004 como Icacinaceae
281,
282,
283,
284,Det. por A.E. Bianek em 09/IX/2003 como pertencente a Caesalpinaceae
285,
286,Sinonimia de C. zeylanicum (M.G. Caxambu em 18/IX/2003)
287,Det. por M.G. Caxambu em 20/VIII/2003 como B. brasiliensis em Loganiaceae
288,
289,
290,
291,Det. como Baccharis punctulata por G. Hatschbach em 05/I/2004
292,
293,
294,
295,Det. por G. Hatschbach em 05/I/2004 como Phoradendron linearifolium
296,Det. por G.G. Hatschbach como N. grandiflora em 05/I/2004/ O. elegans em VI/2010
297,
298,
299,
300,
301,
302,
303,
304,unicata
305,Det. por A.E. Bianek em 21/X/2003 como Vernonia discolor
306,
307,
308,
309,
310,Det. G.G. Hatschbach em 05/I/2004 como C. vernalis
311,
312,
313,
314,Det. por G. Hatschbach em 05/I/2004 como S. multiflora
315,anterior// ident. por G. Hatschbach como I. striata em 05/I/2004 em Mimosaceae
316,Det. por M.G. Caxambu em 07/X/2003 como pertencente a Caesalpinaceae
317,
318,Det. por G. hatschbach como Merostachys multiramea em 05/I/2004
319,
320,
321,
322,
323,
324,
325,
326,
327,Identificado por M.G Caxambu como P. tomentosa em 16/X/2003
328,
329,Det. por M.G. Caxambu em 16/X/2003 como L. sibiricus
330,Det. por M.G. Caxambu em 16/X/2003 como pertencente a Asclepiadaceae
331,
332,
333,det. por G.G. Hatschbach em 27/VI/2004 como C. hermaphroditus
334,
335,
336,
337,
338,
339,
340,
341,Det. por M.G. Caxambu em 11/VII/2003 como T. bartramia
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,Det. por G. Hatschbach em 05/I/2004 como Hippocrateaceae
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,unicata
369,Det. por M.G. Caxambu em 21/X/2003 como Baccharis trimera
370,
371,
372,
373,
374,Det. por A.E. Bianek em 09/X/2003 como Macfadyena unguis-cati
375,
376,
377,
378,
379,
380,Det. por M.G. caxambu em 21/X/2003 como Baccharis trimera
381,
382,
383,
384,
385,
386,
387,
388,Det. por G.G. Hatschbach como Wilbrandia longisepala em 05/I/2004
389,Det. por G. Hatschbach em 05/I/2004 como pertencente a Caesalpinaceae
390,
391,
392,
393,revisada por I. Cordeiro
394,Det. por G.G. Hatschbach em 05/I/2004
395,unicata
396,Dt. por G.G. Hatschbach como O. lanceolata em 05/I/2004
397,unicata
398,Det. por G. Hatschbach em 05/I/2004 como pertencente a Caesalpinaceae
399,Det. por G. Hatschbach como M. luteo-rubra em 12/II/2007
400,
401,Det. por G. Hatschbach em 05/I/2004 como pertencente a Mimosaceae
402,
403,Det. por G. Hatschbach em 05/V/2004 como Arrabidaea chica var. cuprea
404,
405,Det. por M.G. Caxambu em 01/XI/2003 como pertencente a Mimosaceae
406,
407,
408,
409,
410,
411,
412,
413,
414,Det. por A.E. Bianek em 06/XI/2003 como pertencente a Ulmaceae
415,
416,Det. por M.G. Caxambu em 12/III/2004 como Bombacopsis glabra
417,
418,
419,
420,
421,
422,Det. por M.G.Caxambu em 12/XI/2003como pertencente a Mimosaceae
423,
424,
425,
426,
427,
428,Det. por M.G. Caxambu em 13/XI/2003 como O. micranthum
429,
430,Det. por G. Hatschbach em 05/IV/2004 como D. tuberosa
431,
432,
433,Det. por G.G. Hatschbach em 05/V/2004
434,
435,
436,
437,duplicata
438,nov. comb. de Borreria
439,nov. comb. de Borreria
440,
441,
442,Det. por G. Hatschbach em 05/V/2004 como W. douradinha
443,duplicata
444,Det. por G. hatschbach em 05/V/2004 como Sinningia allagophylla
445,
446,
447,
448,
449,
450,
451,Det. por S. Alcantra em X/2007 como Pithecoctenium crucigerum
452,
453,
454,
455,
456,
457,
458,
459,
460,
461,
462,
463,
464,
465,
466,
467,
468,
469,
470,det por I.M. Silva como G. jasminoides em 06/XI/2003
471,
472,
473,
474,
475,
476,
477,
478,unicata
479,
480,Det. por G. Hatschbach em 05/V/2004
481,
482,Det. por G. Hatschbach em 17/III/2004 como Sapium longifolium
483,
484,
485,
486,
487,Det. por G. Hatschbach em 05/V/2004 como W. douradinha
488,unicata
489,
490,
491,
492,Det. por G.G. Hatschbach em 27/VI/2004 como Mandevilla velutina
493,
494,
495,
496,
497,
498,
499,unicata
500,Det. por G.G. Hatschbach como C. heterodoxus em 05/V/2004
501,
502,
503,Det. como Myrcia multiflora por G.G. Hatschbach como 05-V-2004
504,Det. por G.G. Hatschbach em 05/V/2004
505,
506,
507,unicata
508,
509,
510,
511,Det. por M.G. Caxambu em 26/XI/2003 como L. sibiricus
512,
513,
514,
515,Det. por G. Hatschbach em 05/V/2004 como Palicourea macrobotrys
516,Det. por G. Hatschbach em 05/V/2004 como Palicourea macrobotrys
517,Det. por G. Hatschbach em 05/V/2004 como Hippocrateaceae
518,Det. por G.Hatschbach como M. ovatifolia em 05/V/2004
519,
520,
521,
522,Det. por G.G. Hatschbach como P. coalita em 05/V/2004
523,Det. por G Hatschbach em 05/V/2004 como Hippocrateaceae
524,
525,
526,duplicata
527,
528,
529,
530,
531,
532,
533,
534,Det. por M.G. Caxambu em 02/VII/2004 como Mandevilla velutina
535,
536,Det. por M.G. Caxambu em 21/XI/2003 como Acosmium subelegans
537,Det. por G.G. Hatschbach em 05-V-2004 como Campomanesia guaviroba
538,Det. por G. Hatschbach em 05/V/2004 como pertencente a Mimosaceae
539,
540,
541,
542,
543,
544,Det. por M.G. caxambu como Cuscuta racemosa em 27/XI/2003
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,unicata
558,
559,
560,unicata
561,
562,Det. por G. Hatshbach como Caesalpinia stipularis em 05/I/2004
563,
564,
565,
566,
567,
568,
569,Det. por G. Hatschbach como I. ramosissima em 05/V/2004
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,
589,Det. por G. Hatschbach em 05/V/2004 como Caesalpinia spinosa
590,Det. por MG. Hatschbach em 17/III/2004 como Sebastiania hispida
591,
592,
593,Det. por M.G. Caxambu em 08/XII/2003 como pertencente a Caesalpinaceae
594,Det. por M.G. Caxambu em 27/VII/2006 como G. officinalis var. macrocephala
595,
596,
597,
598,
599,
600,
601,
602,
603,
604,
605,
606,duplicata
607,
608,Det. por G. Hatschbach em 05/V/2004 como pertencente a Mimosaceae
609,
610,
611,
612,
613,
614,
615,duplicata
616,duplicata
617,Det. em 15/XII/2003 por M.G. Caxambu como pertencente a Alliaceae
618,Det. por M.G. Caxambu em 17/XII/2003 como pertencente a Euphorbiaceae
619,unicata
620,unicata
621,
622,Det. por G.G. Hatschbach  em 05-V-2004 como Gomidesia sellowiana
623,unicata
624,
625,
626,
627,
628,
629,
630,
631,
632,duplicata
633,
634,
635,
636,
637,
638,
639,
640,
641,
642,
643,
644,
645,
646,
647,
648,Det. por G. Hatschbach em 05/V/2004 como pertencente a MImosaceae
649,
650,
651,
652,
653,
654,
655,
656,
657,Det. por M.G. Caxambu em 05/V/2004 como pertencente a MImosaceae
658,
659,
660,Det. por J.Cordeiro & E.Barbosa em XI/2004 como pertencente a Caesalpinaceae
661,
662,
663,revisada por I. Cordeiro
664,
665,Det. por G. Hastschbach como pertencente a Zingiberaceae em 16/IV/2004
666,
667,
668,
669,
670,
671,
672,unicata
673,
674,
675,
676,Det. por G. Hatschbach em 16/IV/2004 como Arrabidaea samynoides
677,
678,
679,
680,
681,
682,
683,
684,
685,Det. por A.E.Bianek em 20/I/2004 como Caesalpinia leiostachya em Caesalpinaceae
686,
687,
688,Det. por G. Hatschbach em 16/IV/2004 como Wulffia stenoglossa
689,unicata
690,unicata
691,
692,
693,Det. por G.G. Hatschbach em 27/VI/2004 como Myrcia rostrata
694,
695,Det. por M.G. Caxambu em 06/II/2004 como pertencente a Caesalpinaceae
696,
697,
698,
699,
700,
701,
702,
703,
704,
705,
706,
707,
708,
709,
710,Det. por G. Hatschbach em 16/IV/2004 como Arrabidaea florida
711,antes L. australe por M.G. Caxambu em 22/I/2004
712,unicata
713,Det. por M.G. Caxambu em 06/II/2004 como pertencente a Caesalpinaceae
714,
715,
716,Det. por G. Hatschbach em 27/V/2004 como M.ovatifolia
717,Det. por G. Hatschbach em 16/IV/2004 como Arrabidadea samynoides
718,
719,
720,Det. por M.G. Caxambu como N. grandiflora em 07/II/2004
721,
722,
723,Det. por G. Hatschbach em 16/IV/2004como Amphilophium vauthieri
724,
725,
726,
727,
728,
729,
730,
731,
732,
733,
734,
735,
736,
737,
738,Det. por M.G. Caxambu em 04/II/2004 como A. phyllitidis em Schizaeaceae
739,
740,
741,
742,
743,
744,Det. por M.G. Caxambu em 06/II/2004 como A. lhotzkiana
745,
746,
747,
748,
749,
750,Det. por G. Hatschbach em 27/VI/2004
751,
752,
753,
754,
755,
756,Det. por M.G. Caxambu em 05/V/2004
757,
758,
759,
760,Det. por G. hatschbach em 16/IV/2004 como W. indica
761,
762,Det. por M.G. Caxambu em 04/II/2004 como pertencente a Caesalpinaceae
763,
764,
765,
766,
767,Det. por M.G. Caxambu em 09/II/2004como Arrabidaea florida
768,Det. por M.G. Caxambu em 16/VIII/2004 como pertencente a Mimosaceae
769,Det. por M.G. Caxambu em 09/II/2004 como pertencente a Caesalpinaceae
770,Det. como Sapium marginatum em 27/VI/2004 por G. Hatschbach
771,Det. por G. Hatschbach em 16/IV/2004 como Polypodium latipes
772,
773,
774,Det. por M.G. Caxambu em 05/V/2004 como Wulffia stenoglossa
775,
776,
777,
778,
779,
780,
781,
782,
783,
784,
785,
786,
787,anterior// det. como C. platensis por G.G. Hatschbach em 16/IV/2004
788,
789,
790,
791,
792,
793,
794,Det. por M.G. Caxambu em 05/V/2004 como pertencente a Mimosaceae
795,Det. por M.G. Caxambu em 18/III/2004 como Sebastiania hispida
796,
797,
798,
799,
800,
801,
802,Det. por M.G. Caxambu em 07/IV/2005 como pertencente a Caesalpinaceae
803,
804,Det. por M.G. Caxambu em 10/II/2004 como Arrabidaea brachypoda
805,
806,
807,Det. por G. Hatschbach em 27/VI/2004 como pertencente a Mimosaceae
808,
809,Det. por M.G. Caxambu em 10/II/2004 como G. officinalis var. macrocephala
810,
811,Det. por M.G. Caxambu em 05/V/2004 como Mimosaceae
812,
813,Det. por G. Hatschbach em 16/IV/2004 como Ruellia angustifolia
814,Det. por G. Hatschbach em 27/VI/2004 como pertencente a Mimosaceae
815,
816,duplicata
817,
818,Det. por G. Hatschbach em 27/V/2004 como Amaryllis reticulata
819,
820,Det. G. Hatschbach em 27/V/2004 como Calathea eichleri
821,
822,
823,
824,Det. por M.G. Caxambu em 11/II/2004 como pertencente a Caesalpinaceae
825,det por G.G. Hatscbach em 16/VI/2004 como C. luzulae
826,
827,
828,
829,
830,
831,
832,
833,Det. por G. Hatschbach em 27/VI/2004 como Chamaesyce hirta
834,
835,
836,
837,
838,
839,
840,Det. por M.G. Caxambu em 11/II/2004 como pertencente a Caesalpinaceae
841,
842,
843,
844,
845,
846,
847,
848,
849,
850,duplicata
851,
852,Det. por M.G. Caxambu em 11/II/2004 como pertencente a Caesalpinaceae
853,Det. por G. Hatschbach como Eclipta alba em 16/IV/2004
854,
855,
856,
857,
858,
859,Det. por G. Hatschbachem 16/IV/2004 como Macfadyena unguis-cati
860,
861,Det. por G. Hatschbach em 27/VI/2004 como pertencente a Mimosaceae
862,
863,anterir// identificada por G. Hatschbach como I. striata em 27/VI/2004
864,
865,
866,
867,
868,duplicata
869,
870,
871,
872,
873,
874,Det. por G. Hatschbach em 16/IV/2004 como pertencente a Asclepiadaceae
875,
876,Det. por G. Hatschbach em 16/IV/2004 como T. abutiloides
877,
878,
879,Det. por J. Cordeiro & E. Barboza em V/2006 como pertencente a Caesalpinaceae
880,
881,unicata
882,
883,unicata
884,anteriormente como T. sellowiana por M. Caxambu em 19/II/2004
885,
886,
887,Det. por M.G. Caxambu em 19/II/2004 como Caesalpinia leiostachya em Caesalpinace
888,Det. por M.G. Caxambu como pertencente a Caesalpinaceae em 19/II/2004
889,
890,
891,
892,
893,Det. por M.G. Caxambu em 26/II/2004 comoCaesalpinia peltophoroides
894,Det. por M.G. Caxambu em 19/II/2004 como pertencente a Caesalpinaceae
895,
896,
897,
898,
899,
900,
901,
902,
903,
904,unicata
905,
906,
907,
908,
909,
910,Det. por G. Hatschbach em 16/IV/2004 como pertencente a Asclepiadaceae
911,
912,
913,
914,Det. por M.G. Caxambu em 08/III/2004 como Sapium glandulatum
915,
916,
917,
918,Det. por G. Hatschbach como M. coccinea em 16/IV/2004
919,
920,
921,
922,
923,
924,
925,
926,
927,
928,
929,
930,Det. por G. Hatschbach em 27/VI/2004 omo pertencente a Mimosaceae
931,
932,
933,É sinônimo de Miconia langsdorffii
934,
935,
936,
937,Det. por M.G. Caxambu em 04/III/2004 como pertencente a Ulmaceae
938,
939,Det. por G. Hatschbach como Tragia sellowiana em 16/IV/2004
940,
941,
942,
943,
944,
945,
946,Det. por M.G.Caxambu em 28/I/2004 como pertencente a Mimosaceae
947,Det. por M.G. Caxambu em 09/III/2004 como pertencente a Mimosaceae
948,Det. por M.G. Caxambu em 04/III/2004 como Tabebuia chrysotricha
949,unicata
950,
951,
952,
953,Det. por M.G. Caxambu em 28/I/2004 como pertencente a Caesalpinaceae
954,
955,
956,
957,
958,Det. por M.G. Caxambu em 05/III/2004 como Bombacopsis glabra
959,
960,
961,Det. por G. Hatschbach como Lippia obscura em 27/VI/2004
962,
963,
964,
965,
966,Det. por G. Hatschbach em 27/V/2004 como A. tomentosa Schizaeaceae
967,det. G. Hatschbach em 27/VI/2004 = B. rufescens e B. dracunculifolia em 2008
968,
969,
970,
971,unicata
972,anteriormente det. por G. Hatschbach omo I. purpurea (L.) Roth. em 27/V/2004
973,
974,Det. por M.G. Caxambu em 23/XI/2004 como pertencente a Caesalpinaceae
975,Det. por G. Hatschbach em 27/VI/2004 como pertencente a Caesalpinaceae
976,
977,
978,Det. por G. Hatschbach em 27/I/2004 como pertencente a Caesalpinaceae
979,Det. por G. Hatschbach em 27/VI/2004 como pertencente a Caesalpinaceae
980,
981,
982,
983,Det. por M.G. Caxambu em 07/IV/2004 como pertencente a Zingiberaceae
984,
985,
986,
987,
988,
989,
990,
991,
992,
993,
994,
995,
996,antes S. boerhaaviifolium por MBM em 27/III/2004
997,
998,
999,
1000,duplicata
1001,Det. por G.G. Hatschbach em 27/VI/2004 como E. fistulosa
1002,Det. por G.G. Hatschbach em 27/VI/2004 como E. nodulosa
1003,
1004,Det. por M.G. Caxambu em 07/IV/2004 como pertencente a Mimosaceae
1005,
1006,
1007,
1008,Det. por G. Hatschbach em 27/V/2004 como pertencente a Valerianaceae
1009,Det. M.G. Caxambu em 05/VII/2004 como pertencente a Mimosaceae
1010,
1011,Det. por G. Hatschbach em 27/VI/2004 como pertencente a Caesalpinaceae
1012,
1013,Det. por M.G. Caxambu em 04/V/2004 como pertencente a Asclepiadaceae
1014,
1015,
1016,
1017,
1018,
1019,Det. por G. Hatschbach em 27/VI/2004 como pertencente a Euphorbiaceae
1020,
1021,unicata
1022,
1023,Det. por M.G. Caxambu em 04/V/2004 como Ruellia angustifolia
1024,unicata
1025,
1026,
1027,
1028,unicata
1029,
1030,
1031,
1032,
1033,
1034,Ant. determinado por G. Hatschbach em 2004 como Phaseolus linearis
1035,
1036,
1037,Det. por G.G. Hatschbach como O. lanceolata em 27/VI/2004
1038,Det. por G.G. Hatschbach como O. lanceolata em 27/VI/2004
1039,
1040,
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1050,Det. por M.G. Caxambu em 05/V/2004 como T. abutiloides
1051,
1052,
1053,
1054,
1055,
1056,
1057,Anterior// identificada como Glycine wightii por G.G. Hatschbach em 27/V/2004
1058,
1059,
1060,
1061,
1062,Det. por G. Hatschbach em 27/VI/2004 como S. meridionalis
1063,Det. por M.G. Caxambu em 11/V/2004 como Ruellia angustifolia
1064,
1065,
1066,
1067,
1068,
1069,
1070,
1071,
1072,duplicata
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
1082,duplicata
1083,anterior// det por M.G. Caxambu em 21/V/2004 como H. sabdarifa L.
1084,
1085,
1086,
1087,
1088,
1089,duplicata
1090,
1091,
1092,unicata
1093,
1094,
1095,nova combinação de Polypodium para Pleopeltis em 2008
1096,
1097,
1098,
1099,Det. por M.G. Caxambu em 02/VII/2004 como C. vernalis
1100,
1101,
1102,
1103,Det. por J. Cordeiro & O.S. Ribas em IX/2004 como Urbanolophium dusenianum
1104,
1105,
1106,duplicata
1107,
1108,
1109,Det. por J. Cordeiro & E. Barboza em XI/2004 como pertencente a Asclepiadaceae
1110,
1111,
1112,
1113,
1114,
1115,Det. por J. Cordeiro & E. Barbosa em V/2005 como Cordia monosperma
1116,
1117,
1118,
1119,duplicata
1120,
1121,
1122,
1123,
1124,
1125,
1126,Det. por J. Cordeiro & O.S. Ribas em IX/2004 como Tabebuia impetiginosus
1127,Det. por M.G. Caxambu em 2004 como Urbanolophilum dusenianum
1128,
1129,Det. por M.G. Caxambu em 02/VII/2004 como S. meridionalis
1130,Det. por M.G. Caxambu em 08/XII/2004 como Phoradendron linearifolium
1131,antes det. por M.G. caxambu como H. communis em 23/III/2006
1132,
1133,
1134,
1135,Det. por M.G. Caxambu em 16/VIII/2004 como Ruellia angustifolia
1136,
1137,
1138,
1139,
1140,
1141,
1142,
1143,
1144,
1145,Det. por M.G. Caxambu em 02/VII/2004 como Wulffia stenoglossa
1146,
1147,
1148,
1149,
1150,duplicata
1151,
1152,
1153,
1154,
1155,
1156,
1157,
1158,
1159,Det. por J. Cordeiro & O.S. Ribas em IX/2004 como P. crassifolium
1160,unicata
1161,Det. por G.G. Hatschbach em 27/VI/2004 como R. uleana e M.Alves R. marisculus
1162,Det. por G. Hatschbach em 27/VI/2004 em Apiaceae como H. leucocephala
1163,
1164,
1165,
1166,
1167,
1168,
1169,
1170,
1171,
1172,Det. por M.G. Caxambu em 22/VII/2004 como M. cordifolia
1173,
1174,
1175,
1176,
1177,nova combinação de Polypodium para Pleopeltis em 2008
1178,
1179,
1180,
1181,
1182,unicata
1183,
1184,
1185,
1186,Det. por J. Cordeiro & O.S. Ribas em IX/2004 como Polypodium hirsutissimum
1187,Det. por M.G. Caxambu em 26/VII/2004 como Tabebuia heptaphylla
1188,unicata
1189,
1190,
1191,
1192,Det. por J.Cordeiro & O.S. Ribas em IX/2004 como B. alfonsijoannis
1193,
1194,
1195,
1196,
1197,
1198,
1199,
1200,
1201,
1202,
1203,Det. por J. Cordeiro & E. Barbosa em XI/2004 como Peltaea lasiantha
1204,unicata
1205,
1206,
1207,
1208,Det. por J. Cordeiro & E. Barbosa em 2005 como B. guilleminiana
1209,
1210,
1211,
1212,
1213,
1214,
1215,
1216,Det. por J. Cordeiro & E. Barboza em V/2005 como pertencente a Caesalpinaceae
1217,
1218,
1219,Det. por J.N. Nakajima em 2009 como Pseudobrickellia pinifolia
1220,
1221,Det. por J.Cordeiro & E.Barbosa em V/2005 como pertencente a Mimosaceae
1222,
1223,
1224,
1225,
1226,
1227,
1228,
1229,
1230,
1231,
1232,
1233,
1234,Det. por M.G. Caxambu em 14/VIII/2004 como Arrabidaea samynoides
1235,
1236,
1237,
1238,Det. por M.G. Caxambu em 16/VIII/2004 como Ruellia angustifolia
1239,
1240,Det. por M.G. Caxambu em 27/VII/2004 como B. brasiliensis em Loganiaceae
1241,
1242,
1243,
1244,
1245,Det. por M.G. Caxambu em 27/VII/2004 como B. brasiliensis em Loganiaceae
1246,
1247,"Anteriormente como R. rosaefolius, até 26/XI/2007"
1248,
1249,Det. por J. Cordeiro & O.S. Ribas em IX/2004 como Polypodium hirsutissimum
1250,
1251,nova combinação de Polypodium para Pleopeltis em 2008
1252,
1253,
1254,
1255,
1256,
1257,
1258,
1259,
1260,"anteriormente determinado como B. cylindrica pelos mesmos det, na mesma data"
1261,
1262,
1263,
1264,
1265,
1266,
1267,
1268,
1269,
1270,revisada por I. Cordeiro
1271,
1272,
1273,
1274,
1275,
1276,
1277,
1278,
1279,
1280,
1281,
1282,
1283,
1284,
1285,duplicata
1286,
1287,
1288,
1289,
1290,
1291,
1292,
1293,
1294,duplicata
1295,
1296,
1297,
1298,
1299,
1300,duplicata
1301,
1302,
1303,Det. por M.G. Caxambu em 14/VIII/2004 como A. phyllitidis em Schizaeaceae
1304,
1305,
1306,
1307,antes L. australe por J. Cordeiro & O.S. Ribas em IX/2004
1308,Det. por J.Cordeiro & O.S. Ribas em IX/2004 como S. laruotteana
1309,
1310,Det. por M.G. Caxambu em 13/VIII/2004 como C. vernalis
1311,
1312,
1313,
1314,
1315,
1316,
1317,
1318,
1319,unicata
1320,
1321,
1322,
1323,
1324,
1325,
1326,
1327,
1328,
1329,
1330,
1331,
1332,Det. por M.G. Caxambu em 25/VII/2004 como pertencente a Caesalpinaceae
1333,Det. por M.G. Caxambu em 26/VIII/2004 como Hexaclamys edulis
1334,
1335,
1336,Det. por E.A. Maieski em 2004 como Tabebuia chrysotricha
1337,Det. por M.G. Caxambu em 04/VIII/2004 como Bombacopsis glabra
1338,
1339,
1340,
1341,
1342,
1343,
1344,
1345,
1346,
1347,
1348,
1349,
1350,
1351,
1352,
1353,
1354,
1355,
1356,Det. por J. Cordeiro & E. Barboza em XI/2004 como O. diospyrifolia
1357,Det. por M.G. Caxambu em 23/XI/2004 como O. diospyrifolia
1358,Det. por J. Cordeiro & E. Barboza como O. puberula em XI/2004
1359,anterior// det. por J. Cordeiro & E. Barboza como Pfaffia paniculata
1360,
1361,
1362,
1363,
1364,duplicata
1365,
1366,
1367,
1368,
1369,
1370,
1371,Det. por M.G. Caxambu em 14/IX/2004 como J. decurrens
1372,
1373,Det. por M.G. Caxambu em 14/IX/2004 como Tabebuia ochracea
1374,
1375,Det. por J. Cordeiro & E. Barbosa em XI/2004 como Platyaechmea distichantha
1376,
1377,Det. por J. Cordeiro & E. Barbosa em I/2005 como Sauroglossum nitidum
1378,Det. por M.G. caxambu em 2005 como Sauroglossum nitidum
1379,
1380,Det. por M.G. Caxambu em 17/IX/2004 como B. brasiliensis em Loganiaceae
1381,
1382,Det. por J. Cordeiro & E. Barbosa em XI/2004 como Croton thermarum
1383,Det. por M.G. Caxambu em 17/IX/2004 como Tabebuia chrysotricha
1384,
1385,
1386,
