HCF,OBSERVACAO
2847,"árvore ca. 20m, com frutos imaturos verdes e maduros de cor avermelhada."
261,material com frutos.
3930,"Subarbusto jheliófito ca. 0,8m altura; cespitoso; folhas verde douradas, cartáceas, frutos imaturos de cor verde. Solo arenoso."
2256,"Arbusto ramificado, ca. 0,4m, folhas glabras, coriáceas, com frutos imaturos."
1966,"Subarbustiva ramificada, ca. 1m de altura. Flores axilares. Campo sujo."
793,"Planta herbácea, ramificada, com cerca de 1,2m de altura. Flores avermelhadas."
659,"Planta lenhosa, sub-arbustiva, com cerca de 1m de altura. Presença de flores e de um fruto podre no solo."
3054,"Arbusto, ereto, heliófito, flores brancas e folhas simples, em roseta."
4490,"herbácea, ciófila, com soros grandes na face abaxial das folhas."
2238,"Planta arbustiva, ca. 0,3m; folhas simples, opostas, glabras. Presença de flores vermelhas em inflorescências terminais."
2826,"Subarbustiva, trepadeira volúvel, heliófita, na beira da estrada. Flores rosas com seu interior amarelo, com   máculas escuras."
3200,"Herbácea, heliófita, suculenta, com flores vermelhas com interior amarelo."
2852,"Herbácea, heliófita, com flores vermelhas."
4491,arbusto ciófilo com inflorescências espiciformes brancas.
818,"Planta herbácea, ereta, com folhas lanceoladas e flores terminais rosas."
2585,"Herbácea, ciófila, ca. 0,3m de altura, ereta, presença de frutos."
2431,"Herbácea, ereta, com folhas carnosas e fruto alaranjado, com sementes pretas."
4492,"herbácea, terrestre, com folhas profundamente lobadas."
2659,"Planta herbácea, ereta, com folhas lanceoladas, alongadas, flores lilases. Presença de bulbo."
2159,"Terrícola, margem de rio. Floresta Estacional Semidecídua. Doação do MBM."
4304,"herbácea, ereta, terrestre, ca. 70cm, em barranco na beira da estrada."
1246,"Herbácea, ereta, suculenta, ramificada, glabra, com flores vermelhas."
3718,"Trepadeira volúvel, com flores verdes, semi-ciófila."
3508,"Erva heliófita, ereta, em área de solo úmido."
3283,"Herbácea, ereta, com folhas glabras e presença de caule e flores vermelhas (área alagada)."
2991,"Herbácea, ereta, heliófita, com folhas e caule carnoso, flores rosas. Encontrado às margens de um córrego."
2835,"Herbácea, heliófita, com flores rosas. Em beira de estrada."
992,"Planta herbácea, ereta, com ramos carnosos de cor avermenhada. Frutos alados, flores brancas."
4493,"herbácea, epífita, com soros dispostos linearmente ao longo das margens das folhas, na face abaxial."
751,"Planta herbácea, ereta, suculenta; flores brancas e frutos verdes."
621,"Planta herbácea, ereta, com caule suculento vermelho e flores brancas."
2832,"Herbácea, semi-ciófila, volúvel, com flores rosas."
2242,"Arbusto c.a. 1m de altura, heliófito, glabra. Presença de frutos vermelho-alaranjados. Cultivado."
3771,"Arvoreta c.a. 3m, encontrada nas margens do rio Ivaí. Flores rosas e frutos secos deiscentes com sementes envoltas em arilo vermelho."
2393,"Arvoreta, c.a. 4m de altura, heliófita, folhas simples alternas, frutos seco deiscente, coberto com pilosidade."
5510,"erva ereta à prostrada, ca. 1 m de altura."
1274,Arvoreta com presensa de frutos na região apical dos ramos.Na arborização urbana.
510,"Arvoreta, com 3m de altura, folhas simples, alternas e glabras, com flores rosas."
3869,"Arvoreta heliófita, cerca de 2,5m de altura, folha cartácea, áspera, fruto seco imaturo de cor verde. Comum na parte mais externa da lagoa e em alguns murundús. Solo com textura areno-argilosa, área com lagoas naturais. Entorno da lagoa (Way-1), lado esquerdo da estrada no sentido para Iaciara. Ambiente localmente chamado de currual (área de murundus numa das margens da lagoa, ""campo com murundus)."
3171,Arbusto heliófito com frutos secos e flores brancas.
3046,"Herbácea, ereta, heliófita, com flores rosadas em meio a vegetação."
2268,"Herbácea, ereta, glabra, heliófita, com flores rosas em inflorescências terminais."
1801,"Planta herbácea, ereta, com flores eretas terminais."
1123,"Planta herbácia, ereta com 40 cm de altura, flores amarelas e folhas simples fendidas."
4035,"Erva heliófita, psamófila, prostada com flores amarelas.  "
1848,"Subarbusto heliófito ca. 0,80 m alt.; folhas cartáceas, exalando odor agradável ao serem maceradas; frutos maduros avermelhados, sementes escuras com arilo branco."
2901,"Herbácae, heliófita, psamófila, com flores amareladas. Restinga herbácea."
4332,"arbusto heliófito, com folhas ásperas. Frutos secos deiscentes. Cerrado. Identificação confirmada por C.N. Fraga (Herbário RB) em 06-I-2017."
2138,"Ereta, 50 cm, flor lilás. Beira de rio encachoeirado, campo de altitude."
1660,"Herbácea, ereta, pilosa. Flores brancas em inflorescência apical, espécie campestre."
627,"Planta herbácea, ereta, com flores brancas em espiga terminal. Altura de 1,8 m."
1544,"Herbácea, folhas estreitamente elípticas com ápice agudo e base atenuada, de bordos serreados. Flores alaranjadas. Heliófitas, junto ao rio."
1928,"Herbácea, ereta, com folhas simples verticiladas e flores alaranjadas, campanuladas. Em área de campo úmido."
1918,"Planta herbácea, lactescente, flores e folhas verticiladas, flores de coloração alaranjadas."
3355,"arbusto escandente, ca. 2,5m, heliófito, com frutos alaranjados."
4494,"arbusto heliófito, piloso. Brotações terminais ferrugíneo-tomentosas. Flores brancas. Na beira da rodovia."
75,Planta cultivada em jardim. Flores amarelas com castanho.
3501,"Herbácea, terrestre, heliófita, com flores vermelhas e frutos imaturos verdes."
1791,"Planta heliófita, c.a. 1,3m de altura, folhas simples membranáceas. Flores vermelhas e corola verde. Frutos deiscentes. De frequência comum"
2733,"Arbusto de folhas alvas, na beira de aceiro."
3451,"Árvore semi-ciófila, com flores brancas, cálice verde, cheirosa. Folhas coriáceas."
664,"Árvore c.a. 6m de altura, com folhas compostas serreadas, presença de flores amarelas."
2679,"planta escandente, com presença de frutos. Folhas crassas pilosas."
885,"Arvoreta, c.a. 2m de altura. Flores branco-esverdeadas."
1486,"Árbore c.a. 5,5m de altura. Folhas compostas digitadas, alterno-espiraladas. Tronco e ramos com acúleos. Borda de floresta."
5499,"arvoreta heliófita, ca. 3,5 m. Flores alvas e frutos imaturos marrons. Tronco tortuoso com casca gretada. Em solo pedregoso."
1828,"Árvore heliófita c.a. 3,5m de altura X 0,08m DAP. Casca fissurada; folhas discolores, cartáceas, pilosas; botão floral vináceo; pétalas amarelo avermelhas; filetes alvos, anteras amarelas, estilete amarelo. Comum."
431,"Árvore c.a. 6m de altura, flores amareladas, folíolos pubescentes."
1561,"Herbácea, ereta, pilosa, com flores brancas."
460,"Planta hebécea, com flores unicas de coloração roxa e detalhes em branco."
3408,"Arbusto ereto, ramificada, heliófito em beira de trilha."
3382,"Arbusto simi-ciófito, com frutos branco-esverdeados (planta feminina)."
2929,"Arbusto, semi-ciófilo, em área com solo hidromórfico, c. a. 2m, com flores esverdeadas."
730,"Árvore, 6m de altura. Folhas discolores. Inflorescências em rácemos axilares com flores de cor amaralo-esverdeada."
667,"Arvoreta com 1,5m de altura, inflorescência em paniculata de coloração branca."
192,Presença de flores.
2562,"Subarbustiva, heliófita, ereta, com folhas digitadas e flores amarelas."
1472,"Planta subarbustiva, lenhosa, com flores amarelas vistosas no ápice."
1420,"Planta subarbustiva, com flores amarelas vistosas."
265,Flores amarelas.
1870,"Arbusto heliófito ca. 1,5 m alt.; folhas cartáceas; botões verde amaralados; flores brancas. Comum."
1745,"Arbusto heliófito ca. 2,0 m altura; folhas discolores, pilosas, ferrugíneas; frutos maduros vermelho-alaranjados. Comum."
2560,"Heliófita, c.a. 0,3 m, com flores vermelhas pêndulas."
1184,"planta herbácea, ereta, suculenta, com flores amarelas á esverdeada no ápice. Folhas opostas com bordo caramelo. "
2654,"Herbácae, ereta, heliófita, terrestre, suculenta, com flores vermelhas."
3594,"Erva rasteira (rucleral), com presença de inflorescência terminais amarelas."
4295,"árvore c.a. 6m com frutos secos deiscentes, em orla de floresta, cerradão . 815m. "
1112,"arvoreta com 4m de altura, pilosa, com folhas alternas. Presença de botões florais terminais."
3199,"Árvore c.a. 4m, heliófita, folhas escamiformes, tronco com escamas."
2011,"Arvoreta c.a. 1,5m de altura, com presença de estróbilos femininos."
1163,Arvoreta c.a. 2m de altura. Presença de estróbilos masculinos no ápice das ramificações.
255,Material com fruto.
136,"Árvore de jardim, ótimo efeito paisagistico muito utilizada como cerca viva."
114,Planta cultivada.
1043,"Planta parasita, aclorofilada, herbácea, glabra, de caules filiformes delicados. Presença de flores amareladas."
1394,"árvore com folhas simples, opostas, elípticas, discolores, com terço apical serreado; pubescentes em ambas as faces quando jovens. Flores amareladas reunidas em umbelas axilares."
544,"Planta parasita, aclorofilada, herbácea, glabra, de caules filiformes delicados."
1137,"Planta lenhosa, com estipe, ereta, com folhas de até 2m de comprimento, pinadas."
135,Planta cultivada.
3659,Cultivada.
1309,"subarbusto lenhoso, escandente, com folhas ásperas em ambas as faces e presença de frutos deiscentes com uma semente envolvida por arilo vermelho."
4163,"Pteridófita terrícola, em subosque, com esporos."
4157,"Pteridófita terrícola, em sub-bosque, com esporos."
2101,Terrícola da floresta atlântica; encosta de morro. Doação do MBM.
2103,"Terrícola da orla do morro, junto à restinga arbórea. Doação MBM."
4155,"Pteridófita terrícola, heliófita, com esporos contornando as folhas, planta odorífera."
2813,"Planta encontrada em área aberta (pasto), c.a. 2,3m."
4495,"arvoreta heliófita, com folhas grandes, cordiforme. Flores azuis. Na orla da floresta."
4496,"epífita, ciófila, a cerca de 2m do solo."
4497,"arbusto heliófito, com flores de cor creme. Na orla da floresta. "
4503,"subarbusto escandente, latecente, com frutos. Cultivado."
4498,"arbusto heliófito, ereto, terrestre, ramificado. Com flores rosas. Em beira de estrada."
4499,"árvore heliófita ca. 12m de altura, lactescente. Flores de cor verde. Beira de estrada."
4500,"arvoreta ca. 5m, heliófita, com frutos alaranjados."
4501,"subarbusto escandente, heliófito, com flores amarelas, na beira da estrada."
4502,"arvoreta ca. 2m., heliófita. Flores de cor amarela. Beira de talude alterado."
4504,"erva prostrada, heliófita, com frutos espinecentes."
4505,"erva ereta, heliófita, psamófila, com flores amarelas."
4506,"árvore ca. 4,5m de altura, com flores brancas. No alto do morro."
4507,"árvore ca. 3m de altura, com flores verdes (pré-floração) ao longo dos ramos."
4508,"árvore ca. 5m de altura, com frutos imaturos verdes."
4509,"arbusto ciófilo, com material fértil espiciforme."
4510,"herbácea, heliófita, prostrada, com material fértil nas axilas das folhas. Caules avermelhados."
4511,"árvore ca. 6m de altura, com flores de cor creme, dispostas ao longo dos ramos."
4512,"arbusto ramificado, heliófito, psamófilo, com folhas coriáceas. Flores amarelas."
4513,"árvore ca. 5m de altura, com flores amarelas vistosas."
4514,"erva ereta, heliófita, entouceirada, com flores amarelas. No morro de Zimbros."
4515,"árvore ca. 6m de altura, flores de cor creme. Glabra, heliófita. No morro de Zimbros."
4516,"arbusto semi-ciófilo, piloso, ca. 0,7m de altura, com flores de cor branca. No morro de Zimbros."
665,"planta herbácea, ereta, rizomatosa, com flores terminais branco-amareladas."
4517,"erva epífita, com flores amarelas e brácteas alaranjadas."
983,"herbácea rizomatosa, entouceirada, com folhagem espiralada. Inflorescência terminal curta, densa, cônica, com flores rosas e brácteas vermelhas."
2586,semi-ciófila ca 1m de altura. Presença de flores terminais vermelhas.
3511,"herbácea, com aproximadamente 80cm de altura, semi-ciófila, com inflorescências terminais, com flores de cor vermelha."
2294,"herbácea, ereta, com folhas alternas. Presença de flores brancas. Em banhado."
2324,"heliófita, hidrófila, subarbusto ereto, folhas coriáceas. Flores de cálice esverdeado e corola branca. Abundante."
2614,Flores de cor branca.
210,material com flores.
2675,"Arvoreta, ca. 3,5m, com flores branco-rosadas. Folhas membranáceas."
3328,"herbácea, paludícola, com flores amarelas."
3305,"erva heliófita, ereta, em solo arenoso, próximo a nascente."
2005,"herbácea, ereta, com flores amarelas em inflorescência terminal imbricada. Em área alagada."
1016,"planta herbácea, ereta, rizomatoza, com cerca de 60cm de altura."
2746,"herbácea, ereta, heliófita, na cabeceira da cachoeira."
1547,"herbácea, ereta, com flor amarela no ápice do pedúnculo."
450,"árvore com aproximadamente 7m de altura, com flores brancas de marcação arroxeada."
583,"árvore com 8m de altura, com flores brancas e rosas, com tronco apresentando casca reticulada."
182,material com frutos. Árvore em terreno loteado para a construção.
1723,"Árvore heliofita ca. 4,5m altura e 0,15m de DAP. Casca gretada; folhas discolores; flores lilases. Comum. Solo argilo-arenoso."
4346,"Árvore ca. 5m, com folhas lanceoladas; frutos secos deiscentes."
1679,Em terreno baldio; flores amarelas em ramos apicais.
1202,"arvoreta com frutos secos, com quatro linhas de deiscência."
3914,"arbusto heliófito ca.2,0m altura; folhas semi-coriáceas; botões e flores amarelos. Comum. Solo: areno/quartzoso."
1225,"arvoreta ca. 4m de altura, caule piloso, frutos secos deiscentes em ramos terminais; folhas simples verticiladas."
2025,árvore em torno de 5m de altura com folha verticilada. Flores amarelas em inflorescências.
4518,"herbácea, epífita, a cerca de 2m do solo, no tronco do forófito. Flores amarelas."
1731,"arbusto ca. 3,5 m de altura; casca fissurada; folhas coriáceas; botões e flores amarelos. Comum. Solo: pedregoso. Relevo: inclinado."
1418,"arvoreta com folhas simples, verticiladas."
1982,planta trepadeira com folhas digitadas alternas. Flores rosa forte.
1324,"arvoreta com 4m de altura, com folhas simples, verticiladas, com flores amarelas em inflorescências terminais."
1291,"arvoreta com folhas verticiladas, elíptico-lanceoladas, com frutos em ramos terminais."
783,"árvore com 7m de altura, com folhas simples, verticiladas. Flores amarelas terminais."
675,árvore com 9 m de altura. Flores amarelas terminais.
3289,"trepadeira, com flores rosa-forte e frutos verdes."
4519,"árvore ca. 6m de altura, com flores amarelas. Em área alterada."
4520,"arbusto ciófilo, ca. 1,5m de altura. Com presença de frutos imaturos verdes."
4521,"arbusto semiciófilo, com folhas pilosas, discolores. Flores brancas."
4522,"erva ca. 1m de altura, heliófita, em área alagada, com sementes no ápice dos ramos."
4523,"arbusto ciófilo, ca. 1,5m de altura. Flores brancas."
4524,"herbácea, heliófita, cespitosa, em área úmida. Com frutos."
4534,"árvore ca. 7m de altura, com material fértil."
4526,"arbusto heliófito, ca. 1,4m de altura, com flores amareladas. Em capoeira."
4525,"arbusto semi-ciófilo, piloso, ca. 1,2m de altura. Frutos imaturos verdes. Flores de cor branca."
4527,"herbácea, ciófila, reptante, com folhas discolores, verdes na face adaxial e roxas na abaxial. Flores de cor roxa."
4528,"árvore ca. 8m de altura, com flores brancas. Na beira do início da trilha para o morro."
4529,"arbusto heliófito ca. 1m de altura, com flores de cor roxa, próxima a afloramento granítico."
4530,"herbácea, epífita, a cerca de 1,8m do solo, sobre o tronco do forófito."
4535,"herbácea, heliófita, reptante à ereta, em área de solo úmido. Flores brancas."
4531,"erva heliófita, cespitosa, em área com solo úmido. Flores de cor roxa."
4532,"arbusto heliófito, pilosa, ca. 1m de altura, com flores de estames rosas."
4533,"herbácea, ereta, pilosa, semi-ciófila, com flores roxas."
4536,"herbácea, ciófila, com flores roxas."
4537,"herbácea, heliófita, ereta, cespitosa, em área de solo úmido."
4538,"árvore ca. 7m de altura, com flores brancas em pré-floração e frutos imaturos verdes."
4539,"arvoreta ca. 3,5m de altura, com folhas discolores. Em afloramento granítico."
4540,"árvore ca. 6m de altura, heliófita, pilosa, com frutos imaturos verdes. Flores brancas."
4541,"arvoreta heliófita, ca. 3m de altura, com frutos imaturos verdes e maduros escuros."
4542,"herbácea, ereta, cespitosa, semi-ciófila. Sobre afloramento granítico."
4550,"herbácea, cespitosa, ereta, heliófita, com flores roxas."
4543,"árvore ca. 4m de altura, heliófita, com pré-floração de cor branca."
4544,"arbusto heliófito ca. 1m de altura, ramificado. Flores de cor roxa. Em afloramento granítico.                                                                                                                                   "
4545,"arbusto heliófito, ereto à prostrado, com flores vermelhas. Em área de afloramento granítico."
4546,"herbácea, ereta, cespitosa, heliófita, ca. 40cm de altura. Em solo úmido."
4547,"herbácea, heliófita, rupícola, com flores predominantemente amarelas."
4548,"herbácea, ereta, semi-ciófila, em área de afloramento de granito."
4549,"sub-arbustiva, trepadeira volúvel, latecente, com flores rosas, vistosas. Comum."
4551,"herbácea, heliófita, com flores amarelas. Beira da trilha."
3458,"trepadeira com gavinhas, com ramos floríferos e flores de cor vermelha."
635,"planta herbácea, trepadeira, com flores amarelas e frutos ainda verdes."
3377,"subarbusto escandente, com flores cartáceas, flores de cor amarela e frutos imaturos de cor verde."
312,"trepadeira coletada a mais ou menos 1m do solo, sob sombreamento."
2074,"trepadeira, flor creme. Orla da mata. Xiloteca"
3078,"arbusto, ereto, glabro, heliófito, com flores amarelas. Próximo a beira do rio."
3219,subarbusto encontrado na capoeira. Com frutos.
3134,"arvoreta, heliófita, com flores brancas. Cresce em campo seco."
3139,"subarbusto com cerca de 4m de altura, heliófito, com pequenos frutos de cor branca. Cresce em campo seco."
4552,"subarbustiva, epífita, com flores amarelas e frutos alaranjados."
4553,"árvore ca. 8m de altura. Em pré-floração. Tronco com casca grossa, gretada."
4554,"herbácea, semi-ciófila, prostrada. Flores de coloração amarelada."
4555,"hemi-parasita, com folhas coriáceas e frutos imaturos verdes."
4556,"árvore ca. 8m de altura, com flores esverdeadas e frutos imaturos de cor verde."
3984,"arbusto heliófito com flores brancas e roxas, ca. 2 m de altura. Folhas ásperas e pilosas."
4557,"arbusto heliófito, ramificado, com flores de cor creme. Próximo a afloramento granítico."
4408,"Herbácea, epífita, ciófila, ripária."
4558,"subarbusto volúvel, com pequenas flores de cor esverdeada."
4559,"herbácea, ereta, heliófita, com flores amarelas."
4560,"herbácea, ereta, heliófita, com flores amarelas."
4561,"herbácea, heliófita, terrestre, ereta, em barranco."
4562,"herbácea, ereta, terrestre, semi-ciófila, com flores de cor rosa."
4563,"herbácea, epífita, semi-ciófila, com soros na face abaxial das folhas."
4564,"arbusto ramificado ca. 1m de altura, heliófito, rupícola, com flores de cor rosa. Freqüente."
4565,"árvore ca. 8m de altura, com frutos imaturos de cor verde."
4566,"subarbustiva, trepadeira volúvel, pilosa, com folhas discolores."
4579,"herbácea, ereta, ciófila, com soros na face abaxial das folhas."
4567,arbusto heliófito ca. 1m de altura. Flores de cor roxa.
4568,"herbácea, heliófita, ereta, terrestre. Com folhas discolores cinéreo-pubescentes na face abaxial."
4569,"arbusto heliófito, finamente pubescente, com flores brancas. Folhas discolores claras na face abaxial."
4570,"herbácea, ereta, terrestre, heliófita, com raque pilosa. Em afloramento granítico."
4571,"herbácea, heliófita, trepadeira volúvel, com diminutas flores de cor creme. Com látex branco."
4572,epífita com soros arredondados na face abaxial da folha.
4573,"árvore ca. 10m de altura, com frutos secos deiscentes. Semente escura com arilo branco."
4574,subarbusto volúvel com folhas discolores. Presença de sementes no ápice dos ramos.
4575,"arbusto heliófito ca. 1,5m de altura com sementes aladas."
4580,"arvoreta ca. 4m de altura, no subosque. Flores alvas. Frutos imaturos verdes e maduros avermelhados."
4576,"herbácea, ciófila, epífita, a 2m do solo. Soros arredondados dispostos paralelamente a nervura central."
4577,"herbácea, epífita, ciófila, hirsuta, ferrugíneo-pubescente na face abaxial."
4578,"trepadeira volúvel, heliófita, com ramos e folhas suculentas. Flores de cor branco-creme. Pré-floração."
4581,"herbácea, ereta, epífita ou rupícola, com folhas pilosas. Flores rosas."
4582,"subarbustiva, trepadeira com gavinhas, heliófita. Na beira da trilha. Flores brancas."
4583,"herbácea, ereta, ciófila. Flores vermelhas. Próxima ao reservatório do Carvalho."
3651,"aproximadamente 4 m, na copa do forófito, com folhas glabras de aproximadamente 40 a 55 cm de comprimento e presença de esporos."
4584,"herbácea, epífita, com soros arredondados, paralelos às nervuras das folhas."
4585,"herbácea, ereta a prostrada, heliófita, em área de barranco."
4586,"herbácea, epífita, semi-ciófila. Folhas imbricadas, formando copo, de cor verde, com máculas avermelhadas. Flores amarelas e brácteas rosas. Encontrada em galho caído ao solo."
4587,"árvore com cerca de 5m de altura, heliófita, com estróbilos masculinos."
4588,"herbácea, heliófita, ereta, em solo úmido."
4589,"herbácea, ereta, heliófita, ca. 1m de altura, Flores roxas (em pré-floração) no ápice do caule. Em solo úmido próxima a um barranco."
4590,"herbácea, epífita, ciófila. Flores amarelas maculadas de marrom."
4591,"arbusto semi-ciófilo ca. 0,8m de altura, com flores brancas. Na orla da floresta."
4592,"herbácea, epífita, semi-ciófila, a 1m do solo. Flores amarelo-escuras, com máculas de cor vinho."
4593,"herbácea, heliófita, ereta, ca. 0,7m de altura. Flores brancas."
4594,"arbusto ca. 1,5m de altura, heliófito, ramificado, próximo a residência abandonada. Flores de cor amarela."
4595,"árvore ca. 12m de altura, em pré-floração. Próxima ao reservatório do Carvalho."
4596,"arbusto heliófito,  ca. 0,6m de altura. Folhas discolores, pilosas, glandulosas. Flores alvas. Odorífera."
4597,arvoreta heliófita ca. 5m de altura. Com frutos imaturos verdes.
4598,"árvore ca. 8m, em área aberta. Início da floração."
4599,arvoreta ca. 5m de altura. Em pré-floração. Botões florais de cor creme.
4600,"árvore ca. 6m de altura, latecente. Flores amarelas."
4601,"herbácea, ereta, heliófita, terrestre, ca. 0,6m de altura."
4602,"árvore ca. 9m de altura, com flores amareladas, na orla da floresta."
4603,"herbácea, epífita, ciófila. Flores amarelas. Brácteas vermelho-amarelas. Folhas roxas."
4604,"herbácea, semi-ciófila, palustre. Caule recoberto de pelos vermelhos. Frutos de cor rosa."
4605,"herbácea, ereta, heliófita, terrestre, pilosa, ca. 0,8m de altura. Em área próxima a residência abandonada. Flores amarelas."
4606,"herbácea, ciófila, rupícola, ca. 0,5m de altura."
4607,"herbácea, reptante, com folhas discolores, rupícola. Com flores brancas e diminutos frutos no ápice dos ramos."
4608,"herbácea, ciófila, ca. 0,9m de altura. No subosque."
4609,"herbácea, epífita, heliófita, com folhas rosuladas formando um copo. Terço basal das folhas de cor castanho e o resto da folha verde. Flores de cor amarela. "
4610,"herbácea, ereta a prostrada, heliófita. Material fértil concentrado nos nós. Em beira de trilha."
4611,"árvore ca. 15m de altura. Folhas grandes, compostas, pinadas. Flores brancas com odor suave."
4612,"herbácea, epífita, ciófila, com pseudo-bulbos desenvolvidos. Flores predominantemente brancas, com o labelo rubro."
4613,"árvore ca. 6m de altura, com folhas compostas pinadas. Flores de cor vermelha."
4614,"herbácea, heliófita, escandente, com diminutas flores amareladas."
4615,"herbácea, ereta, pilosa, heliófita, ca. 0,3m de altura. Flores roxas. Próxima a uma casa abandonada."
4616,"herbácea, epífita, formando densos agrupamentos. Folhas aciculiformes sobre pseudo-bulbos. Flores marrons."
4617,"herbácea, epífita, com flores azuis e brácteas rosas."
4618,"herbácea, ereta, epífita, a 50cm do solo."
4619,"herbácea, ereta, terrestre, semi-ciófila. Folhas discolores."
4620,"arbusto heliófito ca. 2,5m. Flores brancas. Em área alterada."
4621,"herbácea, heliófita, em área alagada."
4377,"Arbusto heliófito ca. 0,5m, com flores rosas, formando densas populações. Cerrado."
4622,"herbácea, ereta, ciófila, entouceirada, com soros na face abaxial das folhas, ao longo da margem."
4623,"herbácea, heliófita, em área de barranco."
